Id,log_bike_count
0,0.31871417
1,1.6920232
2,2.0117168
3,0.6914438
4,0.6952759
5,0.6125142
6,0.51522297
7,0.62776965
8,0.45879865
9,1.1297162
10,1.1243714
11,1.4724513
12,1.5193663
13,1.1918998
14,0.62849724
15,0.5223279
16,0.38461053
17,0.70364463
18,0.7077026
19,1.1594262
20,1.4225762
21,0.47739282
22,0.79723716
23,0.34160402
24,0.73205423
25,1.536926
26,0.064626865
27,1.9492793
28,1.6950749
29,1.6490151
30,0.661762
31,1.8340416
32,0.16927926
33,0.6505493
34,1.4592175
35,0.621281
36,1.4496921
37,0.60877645
38,0.50501364
39,1.0633163
40,1.9013996
41,1.1995013
42,1.5523272
43,1.6253798
44,0.24461165
45,1.6160502
46,1.5063078
47,1.6357358
48,1.4402227
49,0.48227748
50,1.3651286
51,0.46972492
52,1.9159023
53,1.1395706
54,2.2606497
55,1.2220204
56,1.650116
57,1.2212715
58,0.7060472
59,1.5262659
60,0.60831743
61,1.1732212
62,0.34388566
63,0.5775286
64,0.42298123
65,0.27906674
66,1.5551599
67,0.3119081
68,1.6474572
69,1.3506423
70,1.6243393
71,2.2733326
72,1.6135999
73,1.6419053
74,1.6257658
75,1.6777446
76,0.7130409
77,1.6634194
78,0.40457597
79,1.653442
80,2.077495
81,1.820886
82,1.6280509
83,0.7286267
84,2.31151
85,0.5590757
86,1.5421488
87,0.07922738
88,0.27540222
89,0.26895857
90,0.34242085
91,0.20302123
92,1.8173298
93,1.9430865
94,1.7683562
95,1.4313099
96,1.3929417
97,2.033741
98,1.347505
99,2.196058
100,1.4539964
101,1.5563612
102,1.6000237
103,0.5679716
104,1.8989549
105,1.3666928
106,0.2418984
107,2.2888818
108,0.35617265
109,0.53299385
110,0.19629315
111,0.2871152
112,0.52610356
113,0.0873065
114,0.9396428
115,0.26305008
116,1.1713897
117,2.0417495
118,1.171971
119,2.0648391
120,0.8407408
121,1.4042665
122,0.40786487
123,1.3667402
124,0.4142442
125,1.368952
126,0.5083919
127,1.4797869
128,1.0238463
129,0.63882625
130,1.10378
131,0.17195481
132,0.6709306
133,0.16033046
134,0.0055022635
135,2.287097
136,-0.01406054
137,1.7131696
138,0.31423658
139,1.6225092
140,1.9182929
141,0.63198775
142,1.2890046
143,0.6569478
144,2.0035844
145,0.43683916
146,1.1723709
147,0.16566513
148,0.47677118
149,0.1759583
150,1.2538661
151,0.8424633
152,2.06339
153,1.5839576
154,1.4830078
155,1.6780071
156,1.4409924
157,0.657639
