Id,log_bike_count
0,0.2788375
1,1.3261799
2,2.0300605
3,0.67936516
4,0.69677925
5,0.2796616
6,0.34225696
7,0.5689167
8,0.4104542
9,0.9678071
10,1.1037195
11,1.377518
12,1.38552
13,1.0180911
14,0.7019153
15,0.66834944
16,0.5759308
17,0.59094465
18,0.63215345
19,0.9289898
20,1.2505383
21,0.4555664
22,0.7053799
23,0.39464867
24,0.5159269
25,1.2702595
26,0.16790012
27,1.9739127
28,1.4923258
29,1.3105831
30,0.5179206
31,1.676285
32,0.38172755
33,0.6475814
34,1.3443229
35,0.6647793
36,1.4697601
37,0.69586104
38,0.5527956
39,0.9409059
40,1.9086214
41,1.268579
42,1.1664084
43,1.4858795
44,0.31233206
45,1.6078143
46,1.1759828
47,1.7468483
48,1.5042585
49,0.43517646
50,1.5753547
51,0.4957937
52,2.3363688
53,1.0341623
54,2.4514887
55,1.1774095
56,1.6230148
57,1.1701493
58,0.7245785
59,1.6521567
60,0.5994884
61,1.1162696
62,0.2847818
63,0.562947
64,0.3472528
65,0.2501778
66,0.98141056
67,0.29567975
68,1.6472342
69,1.2543505
70,1.6381425
71,2.0728095
72,1.6829915
73,1.4583052
74,1.6667247
75,1.5232512
76,0.6500774
77,1.5254798
78,0.43557328
79,1.503773
80,2.115797
81,1.6921196
82,1.6504527
83,0.73968196
84,2.402729
85,0.39101475
86,1.4091223
87,0.21818712
88,0.53242654
89,0.23913705
90,0.844237
91,0.43116137
92,2.0002203
93,1.932862
94,1.8709668
95,1.4687641
96,1.6278164
97,2.0261831
98,1.5972486
99,1.9580811
100,1.6003969
101,1.3572273
102,1.7462171
103,0.6028241
104,2.149886
105,1.4799322
106,0.3631624
107,2.0963163
108,0.43049902
109,0.643804
110,0.47081745
111,0.3240264
112,0.87010074
113,0.13724673
114,0.9378865
115,0.16397057
116,1.220103
117,2.1423602
118,1.2674072
119,2.0854273
120,1.055355
121,1.4989303
122,0.21693937
123,1.5953696
124,0.23555398
125,1.6008213
126,0.08023242
127,1.7545202
128,0.60622966
129,0.60609925
130,0.8573344
131,0.23330237
132,0.49523517
133,0.27466246
134,0.29097095
135,1.5643067
136,0.11635505
137,1.6439638
138,0.234772
139,1.6775398
140,1.9524987
141,0.5397835
142,1.3730149
143,0.720481
144,2.1638064
145,0.664798
146,1.6152191
147,0.48372337
148,0.92499745
149,0.331692
150,1.4324133
151,0.41792277
152,2.1505897
153,1.5563956
154,1.0495838
155,1.6332629
156,1.3698442
157,0.6866523
158,1.5003735
159,0.48338497
