Id,log_bike_count
0,0.26097718
1,1.4874367
2,2.1382766
3,0.6036282
4,0.5716961
5,0.39977792
6,0.36461595
7,0.4742388
8,0.4273809
9,1.0362128
10,1.1851417
11,1.3219246
12,1.3545879
13,1.0033429
14,0.6548436
15,0.6808739
16,0.6053738
17,0.6011917
18,0.7562793
19,1.0160881
20,1.3105357
21,0.35312402
22,0.7769712
23,0.41637778
24,0.45553648
25,1.4154837
26,0.09498364
27,1.9311256
28,1.5460627
29,1.4725729
30,0.60515475
31,1.6550759
32,0.27607247
33,0.41527995
34,1.1563596
35,0.45103493
36,1.3559605
37,0.6099494
38,0.38091648
39,0.9186084
40,1.7307577
41,1.2472302
42,1.1098275
43,1.424997
44,0.21756983
45,1.4119416
46,1.2260269
47,1.4813546
48,1.5273291
49,0.42366377
50,1.5592959
51,0.5360935
52,2.0911205
53,1.0409669
54,2.3858838
55,1.1541089
56,1.7838782
57,1.1841714
58,0.59074175
59,1.5388484
60,0.5333719
61,1.1148622
62,0.28270966
63,0.47265205
64,0.24565363
65,0.34870815
66,0.9476899
67,0.14388297
68,1.5777886
69,1.1215441
70,1.5429645
71,1.966083
72,1.5903052
73,1.5526108
74,1.5845934
75,1.5663166
76,0.38080534
77,1.575875
78,0.50627685
79,1.5435866
80,2.035462
81,1.6557958
82,1.5769792
83,0.7214461
84,2.3551838
85,0.49908456
86,1.4603217
87,0.14043576
88,0.716694
89,0.2961181
90,0.89444965
91,0.19125867
92,2.0253487
93,1.934619
94,1.8502799
95,1.3655384
96,1.6004678
97,1.9468343
98,1.6031749
99,2.1150217
100,1.6175402
101,1.3496355
102,1.694441
103,0.47842327
104,2.1095326
105,1.4210118
106,0.26372638
107,2.1045477
108,0.4743872
109,0.4409713
110,0.33669034
111,0.31675684
112,0.6378638
113,0.22669403
114,0.8959157
115,0.36334476
116,1.2830324
117,2.087565
118,1.2551491
119,2.0201042
120,0.9726613
121,1.4708078
122,0.41394803
123,1.5774013
124,0.2820509
125,1.5822759
126,0.0029220814
127,1.737739
128,0.61154866
129,0.6092331
130,1.0990863
131,0.25721323
132,0.7289803
133,0.24687158
134,0.19617546
135,1.7966595
136,0.10470638
137,1.6355115
138,0.2976689
139,1.6182724
140,1.8662297
141,0.61598617
142,1.5423629
143,0.38990468
144,2.3787007
145,0.3696103
146,1.5855128
147,0.4007697
148,0.98862183
149,0.38287985
150,1.1428959
151,0.33489206
152,1.9719527
153,1.5061798
154,1.2178723
155,1.6155151
156,1.3782109
157,0.7059779
158,1.5289316
159,0.56763875
160,2.1504614
161,0.4273047
162,1.2572378
163,0.2953139
164,0.6357366
165,0.2707977
166,0.5542488
167,0.3867217
168,1.527287
169,1.5759234
170,1.5186901
171,1.9293076
172,1.5035156
173,2.2453322
174,2.3296924
175,0.76550454
176,0.8031399
177,0.7244808
178,0.68497443
179,1.0020776
180,1.0558301
181,1.0594236
182,1.126446
183,0.27473822
184,0.28868696
185,0.42763716
186,0.19301072
187,1.0506823
188,0.13479657
189,1.2677925
190,1.9636894
191,1.2364392
192,1.5355195
193,1.2552621
194,1.4813275
195,1.1886419
196,2.2637947
197,0.8706473
198,2.1705656
199,0.7235958
200,0.7726079
201,0.52042425
202,0.8824855
203,0.7162923
204,0.33420336
205,0.9884279
206,0.40727556
207,0.25191477
208,0.2756736
209,0.1015075
210,1.487945
211,0.6889438
212,1.5732247
213,0.8474462
214,1.5130523
215,0.839307
216,1.6845044
217,0.07353136
218,2.277686
219,1.7941074
220,1.3040832
221,1.4240588
222,0.9511509
223,1.4683517
224,0.6536559
225,2.061768
226,0.75186807
227,2.306636
228,0.9563422
229,0.115227945
230,1.1712621
231,0.11381319
232,1.3913791
233,0.5101629
234,1.0862067
235,0.58047557
236,0.46911246
237,1.7615242
238,0.5519878
239,1.3905649
240,1.0146797
241,1.3818346
