Id,log_bike_count
0,0.3914335
1,1.5699428
2,2.167981
3,0.82305366
4,0.7332583
5,0.63672817
6,0.72812027
7,0.75185186
8,0.5369313
9,0.94687486
10,0.9760572
11,1.471513
12,1.4990891
13,1.3154792
14,0.89579535
15,0.669495
16,0.7707507
17,0.7101333
18,0.76597613
19,0.9224327
20,1.1280162
21,0.512695
22,0.62555844
23,0.5313764
24,0.62945056
25,1.0562156
26,0.25862634
27,2.196395
28,1.5170422
29,1.5675244
30,0.67756736
31,1.7039241
32,0.2934375
33,0.9538939
34,1.5993035
35,0.89874405
36,1.5564337
37,0.90148604
38,0.66735214
39,0.79966354
40,2.024492
41,1.3456135
42,1.5683659
43,1.5323869
44,0.1916732
45,1.5964712
46,1.2396674
47,1.6877811
48,1.4820813
49,0.5148705
50,1.4780197
51,0.6813764
52,1.983293
53,0.90844494
54,2.2873917
55,0.90404725
56,1.7612545
57,1.0067602
58,0.5141823
59,1.2884144
60,0.43174618
61,0.81432545
62,0.30450198
63,0.59538573
64,0.47075036
65,0.43458712
66,1.2215368
67,0.4054949
68,1.5075445
69,0.9742371
70,1.5049926
71,2.303288
72,1.5346622
73,1.5411009
74,1.5375495
75,1.5814576
76,0.66044134
77,1.5814576
78,0.18808256
79,1.5748725
80,1.7075049
81,1.6939049
82,1.5270634
83,0.61913407
84,2.1250753
85,0.4639609
86,1.69534
87,0.2570029
88,0.41494235
89,0.5064297
90,0.26153228
91,0.49539816
92,1.5335369
93,2.2296007
94,1.6823237
95,1.5593209
96,1.352997
97,2.2890418
98,1.4005598
99,2.173638
100,1.4000909
101,1.455501
102,1.5210007
103,0.739857
104,1.9154199
105,1.6065111
106,0.2237962
107,2.3432953
108,0.16187666
109,0.38739884
110,0.19852372
111,0.29136088
112,0.46168774
113,0.12600495
114,0.59288317
115,0.13085687
116,1.1265018
117,1.7721118
118,1.2162918
119,1.8511107
120,1.0912097
121,1.4512354
122,0.71897745
123,1.4862198
124,0.30893317
125,1.4862198
126,0.5133781
127,1.6292963
128,0.69067335
129,0.70310575
130,0.8709624
131,0.21278703
132,0.35681733
133,0.23716879
134,0.19858246
135,1.8132164
136,0.0982033
137,1.5634558
138,0.42932793
139,1.5346622
140,1.5140958
141,0.80217886
142,1.2232146
143,0.6547262
144,2.1442003
145,0.5648346
146,1.3185127
147,0.3953447
148,0.56862015
149,0.18010636
150,0.99116033
151,0.43972725
152,1.7361747
153,1.4745431
154,1.3442373
155,1.526435
156,1.4206737
157,0.8852913
158,1.5624816
159,0.6985324
160,2.0309458
161,0.40623128
162,1.4992794
163,0.19002841
164,0.668746
165,0.17297979
166,0.5794363
167,0.3872798
168,1.5302098
169,1.3931661
170,1.5302098
171,1.9851395
172,1.533097
173,1.9225888
174,2.0396652
175,0.76159674
176,0.7177727
177,0.74698764
178,0.6915519
179,0.7310342
180,0.74148035
181,0.8644504
182,0.62923294
183,0.19626199
184,0.17007749
185,0.09727419
186,0.16812132
187,0.7954718
188,0.30797878
189,1.0280101
190,1.8068997
191,1.0912312
192,1.5413189
193,1.1188073
194,1.5325714
195,1.2025038
196,2.2829833
197,0.87297165
198,2.125421
199,0.35185802
200,0.98867995
201,0.54300916
202,0.77784586
203,0.4643788
204,0.22128291
205,0.60191554
206,0.4693063
207,0.44460386
208,0.39842892
209,0.3025312
210,1.4825897
211,0.68228203
212,1.53035
213,0.8475909
214,1.5799077
215,1.0110344
216,1.7471232
217,0.15000357
218,2.195704
219,1.463602
220,1.5805713
221,1.0975474
222,0.82672143
223,1.1850269
224,0.4364056
225,1.7671992
226,0.7979968
227,1.9240216
228,0.9623627
229,0.26323453
230,0.99491674
231,0.21732405
232,1.2479019
233,0.5572094
234,1.1107148
235,0.46373013
236,0.38384917
237,1.7303376
238,0.38997695
239,1.4206737
240,0.8967475
241,1.423561
242,0.92470866
243,0.6817906
244,1.0656941
245,0.4934514
246,1.0489115
247,0.38152063
248,0.83823895
249,0.2723849
250,0.5615095
251,1.1650773
252,0.47763857
253,1.7739793
254,0.2940884
255,2.0051596
256,0.21996789
257,0.46596083
258,0.59738743
259,1.7786399
260,0.34628227
261,1.5928826
262,0.72341436
263,1.5790275
264,1.5622765
265,1.5819148
266,1.4388974
267,0.697943
268,1.3486278
269,0.7138214
270,1.3605437
271,0.7587989
272,1.431929
273,0.44619673
274,1.9427359
275,0.233021
276,0.4684321
277,1.1833766
278,0.21176206
279,1.8254576
280,0.21123055
281,1.5143704
282,0.92991835
283,1.9720831
284,1.7389227
285,0.7410522
286,1.5087454
287,0.40887132
288,1.5116327
289,0.48670852
290,0.77692467
291,0.36186838
292,0.50083154
293,1.2479019
294,0.42648476
295,1.275478
296,0.30602753
297,1.3928416
298,0.36654013
299,1.4228982
300,1.8230594
301,1.43845
302,1.5604223
303,1.0444615
